dguid,alt_geo_code,geo_level,geo_name_full,geo_name,geo_kind,characteristic,population
2021S051259030221,59030221,Dissemination area,59030221,59030221,,"Population, 2021",384
2021S051259030222,59030222,Dissemination area,59030222,59030222,,"Population, 2021",928
2021S051259030223,59030223,Dissemination area,59030223,59030223,,"Population, 2021",641
2021S051259030224,59030224,Dissemination area,59030224,59030224,,"Population, 2021",576
2021S051259030225,59030225,Dissemination area,59030225,59030225,,"Population, 2021",487
2021A00055903015,5903015,Census subdivision,"Nelson, City (CY)",Nelson,City (CY),"Population, 2021",11106
2021S051259030144,59030144,Dissemination area,59030144,59030144,,"Population, 2021",720
2021S051259030145,59030145,Dissemination area,59030145,59030145,,"Population, 2021",817
2021S051259030146,59030146,Dissemination area,59030146,59030146,,"Population, 2021",542
2021S051259030147,59030147,Dissemination area,59030147,59030147,,"Population, 2021",576
2021S051259030148,59030148,Dissemination area,59030148,59030148,,"Population, 2021",483
2021S051259030149,59030149,Dissemination area,59030149,59030149,,"Population, 2021",489
2021S051259030150,59030150,Dissemination area,59030150,59030150,,"Population, 2021",525
2021S051259030151,59030151,Dissemination area,59030151,59030151,,"Population, 2021",568
2021S051259030152,59030152,Dissemination area,59030152,59030152,,"Population, 2021",513
2021S051259030153,59030153,Dissemination area,59030153,59030153,,"Population, 2021",560
2021S051259030154,59030154,Dissemination area,59030154,59030154,,"Population, 2021",531
2021S051259030155,59030155,Dissemination area,59030155,59030155,,"Population, 2021",480
2021S051259030156,59030156,Dissemination area,59030156,59030156,,"Population, 2021",815
2021S051259030157,59030157,Dissemination area,59030157,59030157,,"Population, 2021",700
2021S051259030158,59030158,Dissemination area,59030158,59030158,,"Population, 2021",610
2021S051259030160,59030160,Dissemination area,59030160,59030160,,"Population, 2021",590
2021S051259030161,59030161,Dissemination area,59030161,59030161,,"Population, 2021",479
2021S051259030162,59030162,Dissemination area,59030162,59030162,,"Population, 2021",583
2021S051259030164,59030164,Dissemination area,59030164,59030164,,"Population, 2021",525
2021S051259030168,59030168,Dissemination area,59030168,59030168,,"Population, 2021",0
2021A00055903017,5903017,Census subdivision,"Central Kootenay C, Regional district electoral area (RDA)",Central Kootenay C,Regional district electoral area (RDA),"Population, 2021",1475
2021S051259030204,59030204,Dissemination area,59030204,59030204,,"Population, 2021",493
2021S051259030205,59030205,Dissemination area,59030205,59030205,,"Population, 2021",576
2021S051259030247,59030247,Dissemination area,59030247,59030247,,"Population, 2021",406
2021A00055903019,5903019,Census subdivision,"Slocan, Village (VL)",Slocan,Village (VL),"Population, 2021",379
2021S051259030138,59030138,Dissemination area,59030138,59030138,,"Population, 2021",379
2021A00055903023,5903023,Census subdivision,"Kaslo, Village (VL)",Kaslo,Village (VL),"Population, 2021",1049
2021S051259030239,59030239,Dissemination area,59030239,59030239,,"Population, 2021",577
2021S051259030246,59030246,Dissemination area,59030246,59030246,,"Population, 2021",472
2021A00055903027,5903027,Census subdivision,"Silverton, Village (VL)",Silverton,Village (VL),"Population, 2021",149
2021S051259030136,59030136,Dissemination area,59030136,59030136,,"Population, 2021",149
2021A00055903032,5903032,Census subdivision,"New Denver, Village (VL)",New Denver,Village (VL),"Population, 2021",487
2021S051259030135,59030135,Dissemination area,59030135,59030135,,"Population, 2021",487
2021A00055903039,5903039,Census subdivision,"Central Kootenay D, Regional district electoral area (RDA)",Central Kootenay D,Regional district electoral area (RDA),"Population, 2021",1462
