BC Geographic Name,Type,View on Map,GeoName ID
McIntyre Lake 23,Indian Reserve,#REF!,60440
McLeod Lake,Community,#REF!,20585
McLeod Lake 1,Indian Reserve,#REF!,64876
McLeod Lake 5,Indian Reserve,#REF!,64873
Newlands,Locality,#REF!,14241
Pack River 2,Indian Reserve,#REF!,64875
Parsnip 5,Indian Reserve,#REF!,65779
Penny,Locality,#REF!,6972
Pine Valley,Locality,#REF!,38890
Quaw Island 25,Indian Reserve,#REF!,60427
Sas Mighe 32,Indian Reserve,#REF!,66023
Shelley,Community,#REF!,16242
Shere,Locality,#REF!,16271
Sinclair Mills,Community,#REF!,20521
Summit Lake,Community,#REF!,13351
Tacheeda Lake 14,Indian Reserve,#REF!,60428
Tom Cook 26,Indian Reserve,#REF!,60426
Tutu Creek 4,Indian Reserve,#REF!,65791
Upper Fraser,Community,#REF!,25095
War Lake 4,Indian Reserve,#REF!,64877
Weedon Carp 6,Indian Reserve,#REF!,60425
Weedon Lake 27,Indian Reserve,#REF!,60443
Weston Bay 20,Indian Reserve,#REF!,66022
Willow River,Community,#REF!,23055
12 Mile,Locality,#REF!,38950
Agwedin 3,Indian Reserve,#REF!,65177
Alastair 80,Indian Reserve,#REF!,64781
Alastair 81,Indian Reserve,#REF!,64788
Alastair 82,Indian Reserve,#REF!,64787
Alexis Thomas 1A,Indian Reserve,#REF!,64804
Alice Arm,Locality,#REF!,12599
Alphonse Tommy 7,Indian Reserve,#REF!,64839
Andak 9,Indian Reserve,#REF!,65160
Andimaul 1,Indian Reserve,#REF!,65156
Anlaw 4,Indian Reserve,#REF!,65169
Augier Lake 22,Indian Reserve,#REF!,63902
Babine 16,Indian Reserve,#REF!,64832
Babine 17,Indian Reserve,#REF!,65164
Babine 18,Indian Reserve,#REF!,65144
Babine 25,Indian Reserve,#REF!,64880
Babine 26,Indian Reserve,#REF!,64879
Babine 6,Indian Reserve,#REF!,64841
Babine Lake 20,Indian Reserve,#REF!,64829
Babine Lake 21B,Indian Reserve,#REF!,64828
Babine River 21,Indian Reserve,#REF!,64830
Babine River 21A,Indian Reserve,#REF!,64827
Baldy Hughes,Community,#REF!,37544
Baptiste Louis 8,Indian Reserve,#REF!,64808
Barrett Lake,Community,#REF!,11684
Bear Lake (Upper Driftwood River) 1A,Indian Reserve,#REF!,64571
Beaver Islands 8,Indian Reserve,#REF!,64866
Beaverley,Community,#REF!,2810
Bihl' K' A 18,Indian Reserve,#REF!,64887
Bihl' K'a Chah 20,Indian Reserve,#REF!,60090
Bihlk'a 6,Indian Reserve,#REF!,64931
Binche 10,Indian Reserve,#REF!,64943
Binche 12,Indian Reserve,#REF!,64945
Binche 2,Indian Reserve,#REF!,64935
Binche Bun 7,Indian Reserve,#REF!,64934
Binta Lake 2,Indian Reserve,#REF!,64915
Blackwater 1,Indian Reserve,#REF!,68921
Bonnet Hill,Community,#REF!,259
Braeside,Community,#REF!,588
Broman Lake,Locality,#REF!,37801
Buckhorn,Community,#REF!,1620
Bulkley 1,Indian Reserve,#REF!,65180
Bulkley House,Locality,#REF!,38124
Bulkley River 19,Indian Reserve,#REF!,65141
Burns Lake,Village,#REF!,2226
Burns Lake 18,Indian Reserve,#REF!,64815
Camsell Lake 30,Indian Reserve,#REF!,60078
Canyon Lake (Ormonde Lake) 7,Indian Reserve,#REF!,64847
Carnaby,Locality,#REF!,11227
Carrier Lake 15,Indian Reserve,#REF!,65836
Carsoosat 17,Indian Reserve,#REF!,64932
Casdeded 8,Indian Reserve,#REF!,64840
Cedarvale,Community,#REF!,36500
Chanoodandidalch 14,Indian Reserve,#REF!,64834
Chapel Park 28,Indian Reserve,#REF!,64881
Charella Garden,Community,#REF!,4927
Cheslatta,Locality,#REF!,38871
Cheslatta 1,Indian Reserve,#REF!,64817
Cheztainya Lake 11,Indian Reserve,#REF!,64906
Chig-in-kaht 8,Indian Reserve,#REF!,65161
Chimdimash 2,Indian Reserve,#REF!,65339
Chimdimash 2A,Indian Reserve,#REF!,65338
Chundoo Lh'tan La 45,Indian Reserve,#REF!,60068
Chuz Ghun 8,Indian Reserve,#REF!,64944
Chuz Teeslee 41,Indian Reserve,#REF!,60072
Clemretta,Locality,#REF!,9693
Clesbaoneecheck 3,Indian Reserve,#REF!,64799
Clotalairquot 4,Indian Reserve,#REF!,64843
Clustalach 5,Indian Reserve,#REF!,64929
College Heights,Community,#REF!,10853
Colleymount,Locality,#REF!,10857
Corkscrew Creek 10,Indian Reserve,#REF!,64926
Corkscrew Creek 9,Indian Reserve,#REF!,64925
Coryatsaqua (Moricetown) 2,Indian Reserve,#REF!,65162
Cranberry Junction,Community,#REF!,29
Dalk-ka-gila-quoeux 2,Indian Reserve,#REF!,65324
Danskin,Locality,#REF!,20352
Decker Lake,Community,#REF!,13212
Deep Creek 5,Indian Reserve,#REF!,64556
Dlah Koh 31,Indian Reserve,#REF!,60074
Dog Creek,Locality,#REF!,18209
Donald Landing,Community,#REF!,18268
Dorreen,Locality,#REF!,36530
Driftwood Creek,Community,#REF!,14843
Driftwood River (Kastberg Creek) 1,Indian Reserve,#REF!,64888
Duncan Lake 2,Indian Reserve,#REF!,65842
Dzagayap 73,Indian Reserve,#REF!,64796
Dzagayap 74,Indian Reserve,#REF!,64795
Dzin Tl'At 46,Indian Reserve,#REF!,60070
Dzitline Lee 9,Indian Reserve,#REF!,64939
Eastern Island 13,Indian Reserve,#REF!,64862
Endako,Community,#REF!,9988
Engen,Community,#REF!,9998
Felix George 7,Indian Reserve,#REF!,65848
Fondeur 9,Indian Reserve,#REF!,64845
Forestdale,Locality,#REF!,3557
Fort Babine,Community,#REF!,37895
Fort Fraser,Community,#REF!,3587
Fort George 2,Indian Reserve,#REF!,64798
Fort George Cemetery 1A,Indian Reserve,#REF!,64797
Fort St. James,District Municipality,#REF!,3599
Foxy Creek 6,Indian Reserve,#REF!,65845
François Lake,Community,#REF!,3726
Francois Lake 7,Indian Reserve,#REF!,64860
Fraser Lake,Village,#REF!,38874
Fraser Lake 2,Indian Reserve,#REF!,64850
Gaichbin 8,Indian Reserve,#REF!,65843
Germansen Landing,Community,#REF!,6059
Gingolx,Community,#REF!,53996
Gitandoiks 75,Indian Reserve,#REF!,64794
Gitandoiks 76,Indian Reserve,#REF!,64793
Gitanmaax 1,Indian Reserve,#REF!,62321
Gitanyow,Locality,#REF!,41063
Gitanyow 1,Indian Reserve,#REF!,65795
Gitanyow 2,Indian Reserve,#REF!,65796
Gitanyow 3A,Indian Reserve,#REF!,65821
Gitsegukla 1,Indian Reserve,#REF!,65820
Gitsegukla Logging 3,Indian Reserve,#REF!,65823
Gitwangak 1,Indian Reserve,#REF!,65826
Gitwangak 2,Indian Reserve,#REF!,65827
Gitwinksihlkw,Community,#REF!,39898
Glen Vowell,Community,#REF!,2025
Glenannan,Locality,#REF!,2011
Glentanna,Locality,#REF!,2021
Grand Rapids,Community,#REF!,11648
Granisle,Village,#REF!,11653
Grassy Plains,Locality,#REF!,12425
Gul-mak 8,Indian Reserve,#REF!,65153
Gun-a-chal 5,Indian Reserve,#REF!,65176
Hagwilget,Community,#REF!,5198
Hagwilget 1,Indian Reserve,#REF!,65178
Hart Highlands,Community,#REF!,7722
Hazelton,Village,#REF!,8669
Hixon,Community,#REF!,38590
Holy Cross Lake 3,Indian Reserve,#REF!,64805
Houston,District Municipality,#REF!,40632
Iakwulgyiyaps 78,Indian Reserve,#REF!,64783
Ihch'Az Uz Ta Tsoh 44,Indian Reserve,#REF!,60023
Ikshenigwolk 3,Indian Reserve,#REF!,65333
Inzana Lake 12,Indian Reserve,#REF!,64863
Isaac (Gale Lake) 8,Indian Reserve,#REF!,64861
Island Cache,Community,#REF!,2370
Isle Pierre,Locality,#REF!,2383
Jean Baptiste 28,Indian Reserve,#REF!,65143
Jus K'Ay Tl'Oh 32,Indian Reserve,#REF!,60081
K'ay Noo 47,Indian Reserve,#REF!,60400
Keom Cho 38,Indian Reserve,#REF!,60060
Ketoneda 7,Indian Reserve,#REF!,65328
Kis-an-usko 7,Indian Reserve,#REF!,65158
Kisgegas,Indian Reserve,#REF!,65181
Kispiox,Community,#REF!,4594
Kispiox 1,Indian Reserve,#REF!,63561
Kitsault,Community,#REF!,38020
Kitseguecla,Community,#REF!,4615
Kitselas 1,Indian Reserve,#REF!,65337
Kits-ka-haws 6,Indian Reserve,#REF!,65168
Kitsumkalum,Community,#REF!,35442
Kitsumkaylum 1,Indian Reserve,#REF!,65330
Kitwanga,Community,#REF!,38019
Klagookchew 9,Indian Reserve,#REF!,65822
Klakelse 86,Indian Reserve,#REF!,64776
Knames 45,Indian Reserve,#REF!,64764
Knames 46,Indian Reserve,#REF!,64757
Knapp Lake 6,Indian Reserve,#REF!,64807
Koonwats 7,Indian Reserve,#REF!,65167
Kotsine (Skutsil) 2,Indian Reserve,#REF!,64883
Ksadagamks 43,Indian Reserve,#REF!,64762
Ksadsks 44,Indian Reserve,#REF!,64763
Ksames 85,Indian Reserve,#REF!,64775
'Ksan,Locality,#REF!,6289
Kshish 4,Indian Reserve,#REF!,65332
Kshish 4B,Indian Reserve,#REF!,65335
Ksoo-gun-ya 2A,Indian Reserve,#REF!,65170
Kstus 83,Indian Reserve,#REF!,64786
Kstus 84,Indian Reserve,#REF!,64785
Kuldo,Community,#REF!,6297
Kuldoe 1,Indian Reserve,#REF!,65154
Kulspai 6,Indian Reserve,#REF!,65329
Kuz Che 5,Indian Reserve,#REF!,64890
Kwa-tsa-lix 4,Indian Reserve,#REF!,65166
La Tse Cho Diz I 33,Indian Reserve,#REF!,60024
Lake Kathlyn,Locality,#REF!,7368
Lakelse 25,Indian Reserve,#REF!,64731
Lakelse Lake,Community,#REF!,35474
Laketown 3,Indian Reserve,#REF!,64927
Lakgeas 87,Indian Reserve,#REF!,64773
Laxgalts'ap,Community,#REF!,53994
Lejac,Locality,#REF!,933
Leo Creek,Community,#REF!,961
Leon 14,Indian Reserve,#REF!,64809
Lhoh Cho 29,Indian Reserve,#REF!,60073
Lily Lake,Locality,#REF!,1852
Maklaksadagmaks 41,Indian Reserve,#REF!,64752
Maklaksadagmaks 42,Indian Reserve,#REF!,64761
Manson Creek,Locality,#REF!,27186
Mapes,Locality,#REF!,4740
Marilla,Locality,#REF!,5592
Maxan Creek 5,Indian Reserve,#REF!,65840
Maxan Lake 3,Indian Reserve,#REF!,65844
Maxan Lake 4,Indian Reserve,#REF!,65824
McDonalds Landing,Locality,#REF!,16355
Metso A Choot 23,Indian Reserve,#REF!,60079
Me-yan-law 47,Indian Reserve,#REF!,64758
Michell Pierre 12,Indian Reserve,#REF!,64836
Middle River,Community,#REF!,23567
Mill Bay,Locality,#REF!,36156
Mission Lands 17,Indian Reserve,#REF!,62101
Miworth,Community,#REF!,24731
Moricetown,Locality,#REF!,8131
Moricetown 1,Indian Reserve,#REF!,65163
Mud River,Locality,#REF!,8241
Murray Lake 4,Indian Reserve,#REF!,64806
Nahlquonate 2,Indian Reserve,#REF!,64555
Nak'a Lat 39,Indian Reserve,#REF!,60020
Nak'azdli,Indian Reserve,#REF!,66045
Nan Tl'At 13,Indian Reserve,#REF!,64940
Nass Camp,Community,#REF!,36865
Natazutlooh 25,Indian Reserve,#REF!,60064
Nautley (Fort Fraser) 1,Indian Reserve,#REF!,64851
Nedoats 11,Indian Reserve,#REF!,64835
Nedoats 13,Indian Reserve,#REF!,64833
Nehounlee Lake 13,Indian Reserve,#REF!,64864
Ne-tsaw-greece 10,Indian Reserve,#REF!,64838
New Aiyansh,Community,#REF!,36874
New Gitsegukla 2,Indian Reserve,#REF!,65809
New Hazelton,District Municipality,#REF!,14235
No-Cut 5,Indian Reserve,#REF!,64842
Noo Kat 42,Indian Reserve,#REF!,60069
Noonla 6,Indian Reserve,#REF!,64930
Noralee,Locality,#REF!,27197
North Bulkley,Community,#REF!,17059
North Nechako,Community,#REF!,17110
North Road 19,Indian Reserve,#REF!,60061
North Tacla Lake (Bates Creek) 10,Indian Reserve,#REF!,64892
North Tacla Lake (North End Meadow) 11A,Indian Reserve,#REF!,64905
North Tacla Lake (West Landing) 8,Indian Reserve,#REF!,64894
North Tacla Lake 12,Indian Reserve,#REF!,64904
North Tacla Lake 7,Indian Reserve,#REF!,64896
North Tacla Lake 7A,Indian Reserve,#REF!,64893
Nukko Lake,Community,#REF!,17850
Nulki,Locality,#REF!,38381
O K'Ay Wha Cho 26,Indian Reserve,#REF!,60161
Old Country Meadow 4,Indian Reserve,#REF!,64928
Old Fort,Locality,#REF!,18632
Old Hogem,Locality,#REF!,18640
Old Remo,Locality,#REF!,18646
Omineca 1,Indian Reserve,#REF!,64920
Ootsa Lake,Locality,#REF!,25708
Ormonde Creek 8,Indian Reserve,#REF!,64846
Oschawwinna 3,Indian Reserve,#REF!,65142
Otway,Community,#REF!,15109
Palling,Community,#REF!,15231
Palling 1,Indian Reserve,#REF!,65849
Pendleton Bay,Locality,#REF!,63921
Perow,Community,#REF!,38781
Pinchi,Locality,#REF!,16804
Pinchi Lake,Locality,#REF!,40789
Pineview,Community,#REF!,16834
Pinkut Lake 23,Indian Reserve,#REF!,63901
Poison Creek 17,Indian Reserve,#REF!,64814
Poison Creek 17A,Indian Reserve,#REF!,64816
Prairiedale,Locality,#REF!,54795
Prince George,City,#REF!,21226
Psacelay 77,Indian Reserve,#REF!,64784
Punchaw,Locality,#REF!,24071
Quan-skum-ksin-mich-mich 4,Indian Reserve,#REF!,65157
Quick,Community,#REF!,22309
Red Bluff 88,Indian Reserve,#REF!,64774
Red Rock,Community,#REF!,22261
Red Rose,Locality,#REF!,37439
Reid Lake,Community,#REF!,18952
Remo,Community,#REF!,18966
Rose Lake,Community,#REF!,21815
Rosswood,Locality,#REF!,27602
Round Lake,Locality,#REF!,21888
Sackanitecla 2,Indian Reserve,#REF!,64918
Salaquo 4,Indian Reserve,#REF!,64800
Salmon Valley,Community,#REF!,13645
Seaspunkut 4,Indian Reserve,#REF!,64848
Seymour Lake,Locality,#REF!,15304
Shady Valley,Community,#REF!,15321
Shas Dzuhl Koh 35,Indian Reserve,#REF!,60080
Sheraton,Community,#REF!,16265
Sheraton Creek 19,Indian Reserve,#REF!,64818
Sidina 6,Indian Reserve,#REF!,65159
Sik-e-dakh 2,Indian Reserve,#REF!,65179
Sinkut Lake 8,Indian Reserve,#REF!,64924
Sinkut River,Locality,#REF!,38829
Sisul Tl'o K'ut 14,Indian Reserve,#REF!,60067
Sisul Tl'o K'ut 21,Indian Reserve,#REF!,60066
Six Mile Meadow 6,Indian Reserve,#REF!,65804
Skeena Crossing,Locality,#REF!,21473
Skin Lake 15,Indian Reserve,#REF!,64858
Skins Lake 16A,Indian Reserve,#REF!,64859
Skins Lake 16B,Indian Reserve,#REF!,64919
Skooby Island 48,Indian Reserve,#REF!,60021
Smithers,Town,#REF!,21687
South Fort George,Community,#REF!,20669
South Hazelton,Community,#REF!,20681
Southbank,Community,#REF!,20648
Sowchea 3,Indian Reserve,#REF!,64870
Sowchea 3A,Indian Reserve,#REF!,64869
Squin-Lix-Stat 3,Indian Reserve,#REF!,66001
Stellako,Community,#REF!,7759
Stellaquo (Stella) 1,Indian Reserve,#REF!,64916
Stoner,Community,#REF!,37819
Stony Creek 1,Indian Reserve,#REF!,64917
Streatham,Locality,#REF!,8710
Stuart Lake (Dunah Island) 10,Indian Reserve,#REF!,64868
Stuart Lake (Hungry Island) 9,Indian Reserve,#REF!,65806
Sunnyside,Community,#REF!,13966
Ta Duhl' 36,Indian Reserve,#REF!,60006
Tache 1,Indian Reserve,#REF!,64936
Tachie,Community,#REF!,16733
Tacla Lake (Ferry Landing) 9,Indian Reserve,#REF!,64891
Tadinlay 15,Indian Reserve,#REF!,64831
Tahlo Lake 24,Indian Reserve,#REF!,65788
Takla Landing,Locality,#REF!,38423
Takysie Lake,Locality,#REF!,17576
Tanizul 43,Indian Reserve,#REF!,60082
Targe Creek 15,Indian Reserve,#REF!,64810
Tatalrose,Locality,#REF!,17668
Tatla West 11,Indian Reserve,#REF!,65846
Tatla't East 2,Indian Reserve,#REF!,65825
Tatlow,Locality,#REF!,18478
Tatsadah Lake 14,Indian Reserve,#REF!,65792
Tatselawas (Stuart River) 2,Indian Reserve,#REF!,65808
Tatuk Lake 7,Indian Reserve,#REF!,64923
Tchesinkut Lake,Community,#REF!,18543
Teeslee 15,Indian Reserve,#REF!,64941
Teh Noo'n Che 49,Indian Reserve,#REF!,60089
Telachick,Locality,#REF!,18587
Telkwa,Village,#REF!,18602
Terrace,City,#REF!,27511
Tes Gha La 7A,Indian Reserve,#REF!,64933
Tetachuk,Locality,#REF!,54790
Thornhill,Community,#REF!,27516
Tintagel,Community,#REF!,19966
Tl'o Ba 22,Indian Reserve,#REF!,60065
Topley,Community,#REF!,20985
Topley Landing,Community,#REF!,20984
Tsak 9,Indian Reserve,#REF!,64837
Tsay Cho 4,Indian Reserve,#REF!,64889
Tsaz Chech 27,Indian Reserve,#REF!,60062
Tsaz Chech 28,Indian Reserve,#REF!,60063
Tsaz Cheh Koh 24,Indian Reserve,#REF!,60076
Tse Bay Ha Tine A 34,Indian Reserve,#REF!,60022
Tsemknawalqan 79,Indian Reserve,#REF!,64782
Tsichgass 10,Indian Reserve,#REF!,65847
Tsitsk 3,Indian Reserve,#REF!,65182
Tsun Tine Ah 37,Indian Reserve,#REF!,60077
Tum-bah 5,Indian Reserve,#REF!,65165
Two Mile,Community,#REF!,25157
Ucausley 16,Indian Reserve,#REF!,64937
Ulkah 3,Indian Reserve,#REF!,67908
