"Geo Code","Geo Name","Line Number"
"2021S051259050108","59050108",755099
"2021S051259050111","59050111",757730
"2021S051259050115","59050115",760361
"2021A00055905009","Montrose",762992
"2021S051259050102","59050102",765623
"2021S051259050103","59050103",768254
"2021A00055905014","Trail",770885
"2021S051259050090","59050090",773516
"2021S051259050091","59050091",776147
"2021S051259050092","59050092",778778
"2021S051259050093","59050093",781409
"2021S051259050094","59050094",784040
"2021S051259050095","59050095",786671
"2021S051259050096","59050096",789302
"2021S051259050097","59050097",791933
"2021S051259050098","59050098",794564
"2021S051259050099","59050099",797195
"2021S051259050100","59050100",799826
"2021S051259050105","59050105",802457
"2021A00055905018","Warfield",805088
"2021S051259050087","59050087",807719
"2021S051259050088","59050088",810350
"2021S051259050089","59050089",812981
"2021A00055905023","Rossland",815612
"2021S051259050081","59050081",818243
"2021S051259050082","59050082",820874
"2021S051259050083","59050083",823505
"2021S051259050084","59050084",826136
"2021S051259050085","59050085",828767
"2021S051259050086","59050086",831398
"2021A00055905026","Kootenay Boundary A",834029
"2021S051259050101","59050101",836660
"2021S051259050109","59050109",839291
"2021S051259050110","59050110",841922
"2021S051259050118","59050118",844553
"2021A00055905030","Kootenay Boundary B / Lower Columbia-Old-Glory",847184
"2021S051259050080","59050080",849815
"2021S051259050106","59050106",852446
"2021A00055905032","Grand Forks",855077
"2021S051259050067","59050067",857708
"2021S051259050068","59050068",860339
"2021S051259050069","59050069",862970
"2021S051259050070","59050070",865601
"2021S051259050071","59050071",868232
"2021S051259050072","59050072",870863
"2021S051259050073","59050073",873494
"2021A00055905037","Midway",876125
"2021S051259050112","59050112",878756
"2021A00055905042","Greenwood",881387
"2021S051259050064","59050064",884018
"2021A00055905050","Kootenay Boundary C / Christina Lake",886649
"2021S051259050076","59050076",889280
"2021S051259050077","59050077",891911
"2021S051259050078","59050078",894542
"2021A00055905052","Kootenay Boundary D / Rural Grand Forks",897173
"2021S051259050065","59050065",899804
"2021S051259050066","59050066",902435
"2021S051259050074","59050074",905066
"2021S051259050075","59050075",907697
"2021S051259050079","59050079",910328
"2021A00055905054","Kootenay Boundary E / West Boundary",912959
"2021S051259050062","59050062",915590
"2021S051259050063","59050063",918221
"2021S051259050113","59050113",920852
"2021S051259050114","59050114",923483
"2021A00035907","Okanagan-Similkameen",926114
"2021A00055907005","Osoyoos",928745
"2021S051259070284","59070284",931376
"2021S051259070285","59070285",934007
"2021S051259070286","59070286",936638
"2021S051259070287","59070287",939269
"2021S051259070288","59070288",941900
"2021S051259070291","59070291",944531
"2021S051259070292","59070292",947162
"2021S051259070293","59070293",949793
"2021S051259070294","59070294",952424
"2021A00055907009","Keremeos",955055
"2021S051259070153","59070153",957686
"2021S051259070154","59070154",960317
"2021A00055907014","Oliver",962948
"2021S051259070162","59070162",965579
"2021S051259070163","59070163",968210
"2021S051259070164","59070164",970841
"2021S051259070165","59070165",973472
"2021S051259070166","59070166",976103
"2021S051259070167","59070167",978734
"2021S051259070168","59070168",981365
"2021S051259070169","59070169",983996
"2021A00055907022","Okanagan-Similkameen A",986627
"2021S051259070282","59070282",989258
"2021S051259070283","59070283",991889
"2021S051259070289","59070289",994520
"2021S051259070290","59070290",997151
"2021A00055907024","Princeton",999782
"2021S051259070137","59070137",1002413
"2021S051259070138","59070138",1005044
"2021S051259070139","59070139",1007675
"2021S051259070140","59070140",1010306
"2021S051259070141","59070141",1012937
"2021S051259070142","59070142",1015568
"2021S051259070144","59070144",1018199
"2021S051259070301","59070301",1020830
"2021A00055907026","Okanagan-Similkameen B",1023461
"2021S051259070155","59070155",1026092
"2021S051259070157","59070157",1028723
"2021A00055907028","Okanagan-Similkameen C",1031354
"2021S051259070160","59070160",1033985
"2021S051259070161","59070161",1036616
"2021S051259070170","59070170",1039247
"2021S051259070171","59070171",1041878
"2021S051259070277","59070277",1044509
"2021S051259070279","59070279",1047140
"2021S051259070280","59070280",1049771
"2021S051259070281","59070281",1052402
"2021A00055907035","Summerland",1055033
"2021S051259070183","59070183",1057664
"2021S051259070184","59070184",1060295
"2021S051259070185","59070185",1062926
"2021S051259070186","59070186",1065557
"2021S051259070187","59070187",1068188
"2021S051259070188","59070188",1070819
"2021S051259070189","59070189",1073450
"2021S051259070190","59070190",1076081
"2021S051259070191","59070191",1078712
"2021S051259070192","59070192",1081343
"2021S051259070193","59070193",1083974
"2021S051259070194","59070194",1086605
"2021S051259070195","59070195",1089236
"2021S051259070196","59070196",1091867
"2021S051259070197","59070197",1094498
"2021S051259070198","59070198",1097129
"2021S051259070199","59070199",1099760
"2021S051259070200","59070200",1102391
"2021S051259070201","59070201",1105022
"2021S051259070202","59070202",1107653
"2021S051259070203","59070203",1110284
"2021S051259070204","59070204",1112915
"2021A00055907041","Penticton",1115546
"2021S051259070208","59070208",1118177
"2021S051259070209","59070209",1120808
"2021S051259070210","59070210",1123439
"2021S051259070211","59070211",1126070
"2021S051259070212","59070212",1128701
"2021S051259070213","59070213",1131332
"2021S051259070214","59070214",1133963
"2021S051259070215","59070215",1136594
"2021S051259070216","59070216",1139225
"2021S051259070217","59070217",1141856
"2021S051259070218","59070218",1144487
"2021S051259070219","59070219",1147118
"2021S051259070220","59070220",1149749
"2021S051259070221","59070221",1152380
"2021S051259070222","59070222",1155011
"2021S051259070227","59070227",1157642
"2021S051259070228","59070228",1160273
"2021S051259070229","59070229",1162904
"2021S051259070230","59070230",1165535
"2021S051259070231","59070231",1168166
"2021S051259070232","59070232",1170797
"2021S051259070233","59070233",1173428
"2021S051259070234","59070234",1176059
"2021S051259070235","59070235",1178690
"2021S051259070236","59070236",1181321
"2021S051259070237","59070237",1183952
"2021S051259070238","59070238",1186583
"2021S051259070239","59070239",1189214
"2021S051259070240","59070240",1191845
"2021S051259070241","59070241",1194476
"2021S051259070242","59070242",1197107
"2021S051259070243","59070243",1199738
"2021S051259070244","59070244",1202369
"2021S051259070245","59070245",1205000
"2021S051259070246","59070246",1207631
"2021S051259070247","59070247",1210262
"2021S051259070248","59070248",1212893
"2021S051259070249","59070249",1215524
"2021S051259070250","59070250",1218155
"2021S051259070252","59070252",1220786
"2021S051259070253","59070253",1223417
"2021S051259070254","59070254",1226048
"2021S051259070255","59070255",1228679
"2021S051259070256","59070256",1231310
"2021S051259070257","59070257",1233941
"2021S051259070258","59070258",1236572
"2021S051259070259","59070259",1239203
"2021S051259070260","59070260",1241834
"2021S051259070261","59070261",1244465
"2021S051259070264","59070264",1247096
"2021S051259070266","59070266",1249727
"2021S051259070267","59070267",1252358
"2021S051259070268","59070268",1254989
"2021S051259070269","59070269",1257620
"2021S051259070270","59070270",1260251
"2021S051259070271","59070271",1262882
"2021S051259070272","59070272",1265513
"2021S051259070273","59070273",1268144
"2021S051259070296","59070296",1270775
"2021S051259070297","59070297",1273406
"2021S051259070298","59070298",1276037
"2021A00055907047","Okanagan-Similkameen D",1278668
"2021S051259070173","59070173",1281299
"2021S051259070174","59070174",1283930
"2021S051259070175","59070175",1286561
"2021S051259070274","59070274",1289192
"2021S051259070275","59070275",1291823
"2021S051259070276","59070276",1294454
"2021S051259070315","59070315",1297085
"2021S051259070318","59070318",1299716
"2021A00055907048","Okanagan-Similkameen I",1302347
"2021S051259070178","59070178",1304978
"2021S051259070311","59070311",1307609
"2021S051259070312","59070312",1310240
"2021S051259070314","59070314",1312871
"2021S051259070316","59070316",1315502
"2021A00055907049","Okanagan-Similkameen E",1318133
"2021S051259070223","59070223",1320764
"2021S051259070224","59070224",1323395
"2021S051259070225","59070225",1326026
"2021S051259070226","59070226",1328657
"2021A00055907051","Okanagan-Similkameen F",1331288
"2021S051259070180","59070180",1333919
"2021S051259070181","59070181",1336550
"2021S051259070182","59070182",1339181
"2021S051259070205","59070205",1341812
"2021A00055907053","Okanagan-Similkameen G",1344443
"2021S051259070146","59070146",1347074
"2021S051259070151","59070151",1349705
"2021S051259070152","59070152",1352336
"2021S051259070309","59070309",1354967
"2021A00055907055","Okanagan-Similkameen H",1357598
"2021S051259070135","59070135",1360229
"2021S051259070145","59070145",1362860
"2021S051259070302","59070302",1365491
"2021S051259070320","59070320",1368122
"2021A00055907801","Lower Similkameen 2",1370753
"2021S051259070156","59070156",1373384
"2021A00055907802","Osoyoos 1",1376015
"2021S051259070303","59070303",1378646
"2021S051259070304","59070304",1381277
"2021A00055907803","Penticton 1",1383908
"2021S051259070207","59070207",1386539
"2021S051259070251","59070251",1389170
"2021S051259070299","59070299",1391801
"2021S051259070305","59070305",1394432
"2021S051259070306","59070306",1397063
"2021S051259070307","59070307",1399694
"2021S051259070308","59070308",1402325
"2021A00055907805","Chopaka 7 & 8",1404956
"2021S051259070158","59070158",1407587
"2021A00055907806","Blind Creek 6",1410218
"2021S051259070159","59070159",1412849
"2021A00055907807","Chuchuwayha 2",1415480
