geoname_id,bc_geographic_name,geoname_type,lon,lat,bcgn_name,bcgn_feature_type,da_uid,da_population,da_match,da_distance_m,csd_uid,csd_name,csd_type,csd_population,csd_match,csd_distance_m,name_agrees_with_csd,muni_name,muni_type,muni_population,muni_population_year,muni_population_latest,muni_latest_year,place_population,place_population_basis,place_population_source,place_population_confidence,geo_level,geo_uid,geo_shared_with,parent_geoname_id,parent_name,is_nested,is_primary,note
60006,Ta Duhl' 36,Indian Reserve,-125.4500000004,54.599999997,Ta Duhl' 36,Indian Reserve-Réserve indienne,59510284,373,contains,0.0,5951015,Bulkley-Nechako C,Regional district electoral area,1266,contains,0.0,no,,,,,,,373,da,"2021 Census, dissemination area",high,da,59510284,69,,,FALSE,FALSE,"no census subdivision carries this name, so this is the population of the surrounding dissemination area, NOT of the named place"
64936,Tache 1,Indian Reserve,-124.7541666662,54.6652777749,Tache 1,Indian Reserve-Réserve indienne,59510260,400,contains,0.0,5951810,Tache 1,Indian reserve,400,contains,0.0,yes,,,,,,,400,csd,"2021 Census, census subdivision",high,csd,5951810,0,,,FALSE,TRUE,"the geoname names its containing census subdivision, so this is the population of Tache 1 itself"
16733,Tachie,Community,-124.7320696813,54.6528810226,Tachie,Community,59510260,400,contains,0.0,5951810,Tache 1,Indian reserve,400,contains,0.0,no,,,,,,,400,da,"2021 Census, dissemination area",high,da,59510260,0,64936,Tache 1,TRUE,FALSE,"no census subdivision carries this name, so this is the population of the surrounding dissemination area, NOT of the named place"
64891,Tacla Lake (Ferry Landing) 9,Indian Reserve,-126.0182504631,55.3164850731,Tacla Lake (Ferry Landing) 9,Indian Reserve-Réserve indienne,59510284,373,contains,0.0,5951811,Tacla Lake (Ferry Landing) 9,Indian reserve,15,nearest-name,196.3,yes,,,,,,,15,csd,"2021 Census, census subdivision",medium,csd,5951811,0,,,FALSE,TRUE,"the point lies 196 m outside the same-named census subdivision, inside Bulkley-Nechako C; the same-named one was taken; the geoname names its containing census subdivision, so this is the population of Tacla Lake (Ferry Landing) 9 itself"
64831,Tadinlay 15,Indian Reserve,-126.5015903192,55.066475212,Tadinlay 15,Indian Reserve-Réserve indienne,59510147,0,contains,0.0,5951845,Tadinlay 15,Indian reserve,0,contains,0.0,yes,,,,,,,0,csd,"2021 Census, census subdivision",high,csd,5951845,0,,,FALSE,TRUE,"the geoname names its containing census subdivision, so this is the population of Tadinlay 15 itself"
65788,Tahlo Lake 24,Indian Reserve,-126.4811111113,55.3536111086,Tahlo Lake 24,Indian Reserve-Réserve indienne,59510291,399,contains,0.0,5951053,Bulkley-Nechako G,Regional district electoral area,836,contains,0.0,no,,,,,,,399,da,"2021 Census, dissemination area",high,da,59510291,22,,,FALSE,FALSE,"no census subdivision carries this name, so this is the population of the surrounding dissemination area, NOT of the named place"
38423,Takla Landing,Locality,-125.9682554184,55.4831548415,Takla Landing,Locality,59510283,243,contains,0.0,5951848,North Tacla Lake,Indian reserve,243,contains,0.0,no,,,,,,,243,da,"2021 Census, dissemination area",high,da,59510283,1,,,FALSE,FALSE,"no census subdivision carries this name, so this is the population of the surrounding dissemination area, NOT of the named place"
17576,Takysie Lake,Locality,-125.8681908241,53.883134727,Takysie Lake,Locality,59510203,530,contains,0.0,5951031,Bulkley-Nechako E,Regional district electoral area,1512,contains,0.0,no,,,,,,,530,da,"2021 Census, dissemination area",high,da,59510203,8,,,FALSE,FALSE,"no census subdivision carries this name, so this is the population of the surrounding dissemination area, NOT of the named place"
60082,Tanizul 43,Indian Reserve,-124.9747222223,54.7452777747,Tanizul 43,Indian Reserve-Réserve indienne,59510284,373,contains,0.0,5951015,Bulkley-Nechako C,Regional district electoral area,1266,contains,0.0,no,,,,,,,373,da,"2021 Census, dissemination area",high,da,59510284,69,,,FALSE,FALSE,"no census subdivision carries this name, so this is the population of the surrounding dissemination area, NOT of the named place"
64810,Targe Creek 15,Indian Reserve,-124.9514882356,53.7331444715,Targe Creek 15,Indian Reserve-Réserve indienne,59510224,531,contains,0.0,5951017,Bulkley-Nechako D,Regional district electoral area,1607,contains,0.0,no,,,,,,,531,da,"2021 Census, dissemination area",high,da,59510224,7,,,FALSE,FALSE,"no census subdivision carries this name, so this is the population of the surrounding dissemination area, NOT of the named place"
17668,Tatalrose,Locality,-125.9848650147,53.9831344372,Tatalrose,Locality,59510213,560,contains,0.0,5951031,Bulkley-Nechako E,Regional district electoral area,1512,contains,0.0,no,,,,,,,560,da,"2021 Census, dissemination area",high,da,59510213,7,,,FALSE,FALSE,"no census subdivision carries this name, so this is the population of the surrounding dissemination area, NOT of the named place"
